Id,ClaseMS,ZonificaciónMS,FrenteLote,ÁreaLote,Calle,Callejón,FormaLote,ContornoTerreno,Servicios,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,ÁreaPiscina,CalidadPiscina,Cerca,CaracterísticaMiscelánea,ValorMisceláneo,MesVenta,AñoVenta,TipoVenta,CondiciónVenta,PrecioVenta
149,20,Residencial baja densidad,63.0,7500,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,SawyerW,Normal,Normal,Unifamiliar,1 planta,7,5,2004,2005,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Ladrillo a la vista,120.0,TA,TA,Hormigón vertido,Gd,TA,No,GLQ,680,Unf,0,400,1080,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1080,0,0,1080,1,0,1,0,3,1,Gd,6,Típico,0,,,,,0,0,,,Sí,0,0,0,0,0,0,,,,0,4,2008,Escritura de garantía,Normal,141000
150,50,Residencial media densidad,,6240,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,BrkSide,Normal,Normal,Unifamiliar,1.5 planta terminado,5,4,1936,1950,A dos aguas,Teja compuesta,Revestimiento metal,Revestimiento metal,Ninguno,0.0,TA,TA,Ladrillo-teja,Gd,TA,No,Unf,0,Unf,0,896,896,Gas aire forzado,Buena,Sí,Fusibles antiguos,896,448,0,1344,0,0,1,0,3,1,TA,7,Típico,0,,Independiente,1936.0,Sin terminar,1,240,Regular,Típica/Aceptable,Sí,200,114,0,0,0,0,,,,0,4,2006,Escritura de garantía,Normal,115000
151,20,Residencial baja densidad,120.0,10356,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Esquina,Suave,CollgCr,Normal,Normal,Unifamiliar,1 planta,5,6,1975,1975,A dos aguas,Teja compuesta,Tablero duro,Tablero duro,Ninguno,0.0,TA,TA,Bloque cemento,TA,TA,Av,BLQ,716,Unf,0,253,969,Gas aire forzado,Típica/Aceptable,Sí,Disyuntores estándar,969,0,0,969,0,0,1,1,3,1,TA,5,Típico,0,,Adosado,1975.0,Sin terminar,2,440,Típica/Aceptable,Típica/Aceptable,Sí,0,0,0,0,0,0,,MnPrv,,0,1,2007,Escritura de garantía,Normal,122000
152,20,Residencial baja densidad,107.0,13891,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,NridgHt,Normal,Normal,Unifamiliar,1 planta,8,5,2007,2008,A cuatro aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Piedra,436.0,Gd,TA,Hormigón vertido,Ex,TA,Gd,GLQ,1400,Unf,0,310,1710,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1710,0,0,1710,1,0,2,0,2,1,Gd,6,Típico,1,Buena,Adosado,2007.0,Terminación regular,3,866,Típica/Aceptable,Típica/Aceptable,Sí,0,102,0,0,0,0,,,,0,1,2008,Nuevo,Parcial,372402
153,60,Residencial baja densidad,,14803,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Cul-de-sac,Suave,NWAmes,Normal,Normal,Unifamiliar,2 plantas,6,5,1971,1971,A dos aguas,Teja compuesta,Tablero duro,Tablero duro,Ladrillo a la vista,252.0,TA,TA,Bloque cemento,TA,TA,No,Rec,416,Unf,0,409,825,Gas aire forzado,Buena,Sí,Disyuntores estándar,1097,896,0,1993,0,0,2,1,4,1,TA,8,Típico,1,Buena,Adosado,1971.0,Terminación regular,2,495,Típica/Aceptable,Típica/Aceptable,Sí,0,66,0,0,0,0,,GdWo,,0,6,2006,Escritura de garantía,Normal,190000
154,20,Residencial baja densidad,,13500,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,ClearCr,Normal,Normal,Unifamiliar,1 planta,6,7,1960,1975,Plano,Teja compuesta,Ladrillo a la vista,Contrachapado,Ninguno,0.0,TA,TA,Bloque cemento,Gd,TA,Gd,BLQ,429,ALQ,1080,93,1602,Gas aire forzado,Buena,Sí,Disyuntores estándar,1252,0,0,1252,1,0,1,0,1,1,TA,4,Típico,1,Buena,Adosado,1960.0,Terminación regular,2,564,Típica/Aceptable,Típica/Aceptable,Sí,409,0,0,0,0,0,,,,0,3,2008,Escritura de garantía,Normal,235000
155,30,Residencial media densidad,84.0,11340,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Esquina,Suave,OldTown,Normal,Normal,Unifamiliar,1 planta,6,5,1923,1950,A dos aguas,Teja compuesta,Revestimiento madera,Revestimiento madera,Ninguno,0.0,TA,TA,Ladrillo-teja,TA,TA,No,Unf,0,Unf,0,1200,1200,Gas aire forzado,Típica/Aceptable,Sí,Fusibles antiguos,1200,0,0,1200,0,0,1,0,4,1,TA,7,Típico,0,,Independiente,1923.0,Sin terminar,1,312,Regular,Regular,Sí,0,0,228,0,0,0,,,,0,3,2006,Escritura de garantía,Venta familiar,125000
156,50,Residencial baja densidad,60.0,9600,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Esquina,Suave,Edwards,Calle principal,Normal,Unifamiliar,1.5 planta terminado,6,5,1924,1950,A dos aguas,Teja compuesta,Revestimiento madera,Revestimiento madera,Ninguno,0.0,TA,TA,Ladrillo-teja,TA,TA,No,Unf,0,Unf,0,572,572,Gravedad,Regular,No,Fusibles frecuentes,572,524,0,1096,0,0,1,0,2,1,TA,5,Típico,0,,,,,0,0,,,No,0,8,128,0,0,0,,,,0,4,2008,Escritura de garantía,Normal,79000
157,20,Residencial baja densidad,60.0,7200,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,NAmes,Normal,Normal,Unifamiliar,1 planta,5,7,1950,1950,A cuatro aguas,Teja compuesta,Revestimiento madera,Revestimiento madera,Ninguno,0.0,TA,TA,Bloque cemento,,,,,0,,0,0,0,Gas aire forzado,Típica/Aceptable,Sí,Fusibles frecuentes,1040,0,0,1040,0,0,1,0,2,1,TA,5,Típico,0,,Independiente,1950.0,Sin terminar,2,625,Típica/Aceptable,Típica/Aceptable,Sí,0,0,0,0,0,0,,,,0,6,2006,Escritura de garantía,Normal,109500
158,60,Residencial baja densidad,92.0,12003,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Esquina,Suave,Timber,Normal,Normal,Unifamiliar,2 plantas,8,5,2009,2010,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Ladrillo a la vista,84.0,Gd,TA,Hormigón vertido,Ex,TA,No,Unf,0,Unf,0,774,774,Gas aire forzado,Excelente,Sí,Disyuntores estándar,774,1194,0,1968,0,0,2,1,4,1,Ex,8,Típico,1,Buena,Integrado,2009.0,Terminado,3,680,Típica/Aceptable,Típica/Aceptable,Sí,0,75,0,0,0,0,,,,0,5,2010,Nuevo,Parcial,269500
159,60,Residencial frente a parque,100.0,12552,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Esquina,Suave,Somerst,Normal,Normal,Unifamiliar,2 plantas,7,5,2004,2005,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Ninguno,0.0,Gd,TA,Hormigón vertido,Gd,TA,No,GLQ,222,Unf,0,769,991,Gas aire forzado,Excelente,Sí,Disyuntores estándar,991,956,0,1947,0,0,2,1,3,1,Gd,8,Típico,1,Buena,Adosado,2004.0,Terminación regular,2,678,Típica/Aceptable,Típica/Aceptable,Sí,0,136,0,0,0,0,,GdWo,,0,5,2010,Escritura de garantía,Normal,254900
160,60,Residencial baja densidad,134.0,19378,Pavimentada,,Irregular leve,Ladera,Todos los servicios públicos,Esquina,Suave,Gilbert,Normal,Normal,Unifamiliar,2 plantas,7,5,2005,2006,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Ladrillo a la vista,456.0,Gd,TA,Hormigón vertido,Gd,TA,Mn,GLQ,57,Unf,0,1335,1392,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1392,1070,0,2462,1,0,2,1,4,1,Gd,9,Típico,1,Buena,Adosado,2006.0,Terminación regular,2,576,Típica/Aceptable,Típica/Aceptable,Sí,239,132,0,168,0,0,,,,0,3,2006,Nuevo,Parcial,320000
161,20,Residencial baja densidad,,11120,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Cul-de-sac,Suave,Veenker,Normal,Normal,Unifamiliar,1 planta,6,6,1984,1984,A dos aguas,Teja compuesta,Contrachapado,Contrachapado,Ninguno,0.0,TA,TA,Hormigón vertido,Gd,TA,No,BLQ,660,Unf,0,572,1232,Gas aire forzado,Típica/Aceptable,Sí,Disyuntores estándar,1232,0,0,1232,0,0,2,0,3,1,TA,6,Típico,0,,Adosado,1984.0,Sin terminar,2,516,Típica/Aceptable,Típica/Aceptable,Sí,0,0,0,0,0,0,,,,0,6,2008,Escritura de garantía,Normal,162500
162,60,Residencial baja densidad,110.0,13688,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Interior,Suave,NridgHt,Normal,Normal,Unifamiliar,2 plantas,9,5,2003,2004,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Ladrillo a la vista,664.0,Gd,TA,Hormigón vertido,Ex,TA,Av,GLQ,1016,Unf,0,556,1572,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1572,1096,0,2668,1,0,2,1,3,1,Ex,10,Típico,2,Buena,Integrado,2003.0,Terminado,3,726,Típica/Aceptable,Típica/Aceptable,Sí,400,0,0,0,0,0,,,,0,3,2008,Escritura de garantía,Normal,412500
163,20,Residencial baja densidad,95.0,12182,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Esquina,Suave,NridgHt,Normal,Normal,Unifamiliar,1 planta,7,5,2005,2005,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Ladrillo a la vista,226.0,Gd,TA,Hormigón vertido,Gd,TA,Mn,BLQ,1201,Unf,0,340,1541,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1541,0,0,1541,0,0,2,0,3,1,Gd,7,Típico,1,Buena,Adosado,2005.0,Terminación regular,2,532,Típica/Aceptable,Típica/Aceptable,Sí,0,70,0,0,0,0,,,,0,5,2010,Nuevo,Parcial,220000
164,45,Residencial baja densidad,55.0,5500,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,OldTown,Normal,Normal,Unifamiliar,1.5 planta sin terminar,4,6,1956,1956,A dos aguas,Teja compuesta,Revestimiento metal,Revestimiento metal,Ninguno,0.0,TA,TA,Bloque cemento,TA,TA,No,Unf,0,Unf,0,882,882,Gas aire forzado,Excelente,Sí,Disyuntores estándar,882,0,0,882,0,0,1,0,1,1,TA,4,Típico,0,,,,,0,0,,,Sí,0,0,0,0,0,0,,MnPrv,,0,4,2007,Escritura de garantía,Normal,103200
165,40,Residencial media densidad,40.0,5400,Pavimentada,Pave,Regular,Nivelado,Todos los servicios públicos,Esquina,Suave,OldTown,Normal,Normal,Unifamiliar,1 planta,6,7,1926,2004,A dos aguas,Teja compuesta,Revestimiento metal,Revestimiento metal,Ninguno,0.0,TA,Gd,Ladrillo-teja,TA,TA,Mn,LwQ,370,Unf,0,779,1149,Gas aire forzado,Buena,Sí,Fusibles antiguos,1149,467,0,1616,0,0,2,0,3,1,Gd,5,Típico,0,,Independiente,1926.0,Sin terminar,1,216,Típica/Aceptable,Típica/Aceptable,Sí,0,0,183,0,0,0,,,,0,10,2007,Escritura de garantía,Normal,152000
166,190,Residencial baja densidad,62.0,10106,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,Edwards,Normal,Normal,Duplex convertido,1.5 planta terminado,5,7,1940,1999,A dos aguas,Teja compuesta,Revestimiento madera,Revestimiento madera,Ninguno,0.0,TA,Gd,Ladrillo-teja,TA,TA,No,ALQ,351,Rec,181,112,644,Gas aire forzado,Buena,Sí,Disyuntores estándar,808,547,0,1355,1,0,2,0,4,2,TA,6,Típico,0,,,,,0,0,,,Sí,140,0,0,0,0,0,,,,0,9,2008,Escritura de garantía,Normal,127500
167,20,Residencial baja densidad,,10708,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Interior,Suave,ClearCr,Normal,Normal,Unifamiliar,1 planta,5,5,1955,1993,A cuatro aguas,Teja compuesta,Revestimiento madera,Revestimiento madera,Ninguno,0.0,Gd,TA,Bloque cemento,TA,TA,No,LwQ,379,BLQ,768,470,1617,Gas aire forzado,Excelente,Sí,Fusibles antiguos,1867,0,0,1867,1,0,1,0,2,1,TA,7,Típico,3,Buena,Adosado,1955.0,Terminado,1,303,Típica/Aceptable,Típica/Aceptable,Sí,476,0,0,0,142,0,,GdWo,,0,11,2009,Ejecución hipotecaria,Normal,190000
168,60,Residencial baja densidad,86.0,10562,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,NridgHt,Normal,Normal,Unifamiliar,2 plantas,8,5,2007,2007,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Piedra,300.0,Gd,TA,Hormigón vertido,Ex,TA,No,GLQ,1288,Unf,0,294,1582,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1610,551,0,2161,1,0,1,1,3,1,Ex,8,Típico,1,Buena,Adosado,2007.0,Terminado,3,789,Típica/Aceptable,Típica/Aceptable,Sí,178,120,0,0,0,0,,,,0,11,2007,Nuevo,Parcial,325624
169,60,Residencial baja densidad,62.0,8244,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Interior,Suave,Gilbert,Normal,Normal,Unifamiliar,2 plantas,7,5,2004,2004,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Ninguno,0.0,Gd,TA,Hormigón vertido,Gd,TA,No,Unf,0,Unf,0,840,840,Gas aire forzado,Excelente,Sí,Disyuntores estándar,840,880,0,1720,0,0,2,1,3,1,Gd,7,Típico,1,Buena,Adosado,2004.0,Terminado,2,440,Típica/Aceptable,Típica/Aceptable,Sí,100,48,0,0,0,0,,,,0,5,2007,Escritura de garantía,Normal,183500
170,20,Residencial baja densidad,,16669,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Esquina,Suave,Timber,Normal,Normal,Unifamiliar,1 planta,8,6,1981,1981,A cuatro aguas,Madera sacudida,Contrachapado,Contrachapado,Ladrillo a la vista,653.0,Gd,TA,Bloque cemento,Gd,TA,No,Unf,0,Unf,0,1686,1686,Gas aire forzado,Típica/Aceptable,Sí,Disyuntores estándar,1707,0,0,1707,0,0,2,1,2,1,TA,6,Típico,1,Típica/Aceptable,Adosado,1981.0,Terminación regular,2,511,Típica/Aceptable,Típica/Aceptable,Sí,574,64,0,0,0,0,,,,0,1,2006,Escritura de garantía,Normal,228000
171,50,Residencial media densidad,,12358,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Interior,Suave,OldTown,Calle alimentadora,Normal,Unifamiliar,1.5 planta terminado,5,6,1941,1950,A dos aguas,Teja compuesta,Revestimiento metal,Revestimiento metal,Ninguno,0.0,TA,TA,Bloque cemento,TA,TA,No,Rec,360,Unf,0,360,720,Gas aire forzado,Típica/Aceptable,Sí,Disyuntores estándar,854,0,528,1382,0,0,1,1,2,1,TA,7,Típico,0,,Independiente,1991.0,Sin terminar,2,660,Típica/Aceptable,Típica/Aceptable,Sí,237,0,0,0,0,0,,,,0,5,2007,Escritura de garantía,Normal,128500
172,20,Residencial baja densidad,141.0,31770,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Esquina,Suave,NAmes,Normal,Normal,Unifamiliar,1 planta,6,5,1960,1960,A cuatro aguas,Teja compuesta,Ladrillo a la vista,Contrachapado,Piedra,112.0,TA,TA,Bloque cemento,TA,Gd,Gd,BLQ,639,Unf,0,441,1080,Gas aire forzado,Regular,Sí,Disyuntores estándar,1656,0,0,1656,1,0,1,0,3,1,TA,7,Típico,2,Buena,Adosado,1960.0,Terminado,2,528,Típica/Aceptable,Típica/Aceptable,Parcial,210,62,0,0,0,0,,,,0,5,2010,Escritura de garantía,Normal,215000
173,160,Residencial baja densidad,44.0,5306,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Interior,Suave,StoneBr,Normal,Normal,Adosado (ext.),2 plantas,7,7,1987,1987,A dos aguas,Teja compuesta,Tablero duro,Tablero duro,Ninguno,0.0,Gd,Gd,Hormigón vertido,Gd,Gd,No,GLQ,495,Rec,215,354,1064,Gas aire forzado,Buena,Sí,Disyuntores estándar,1064,703,0,1767,1,0,2,0,2,1,Gd,5,Típico,1,Típica/Aceptable,Adosado,1987.0,Terminación regular,2,504,Buena,Típica/Aceptable,Sí,441,35,0,0,0,0,,,,0,6,2006,Escritura de garantía,Normal,239000
174,20,Residencial baja densidad,80.0,10197,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Interior,Suave,NAmes,Normal,Normal,Unifamiliar,1 planta,6,5,1961,1961,A dos aguas,Teja compuesta,Tejas madera,Tejas madera,Ladrillo común,491.0,TA,TA,Bloque cemento,TA,TA,No,ALQ,288,Rec,374,700,1362,Gas aire forzado,Típica/Aceptable,Sí,Disyuntores estándar,1362,0,0,1362,1,0,1,1,3,1,TA,6,Típico,1,Típica/Aceptable,Adosado,1961.0,Sin terminar,2,504,Típica/Aceptable,Típica/Aceptable,Sí,0,20,0,0,0,0,,,,0,6,2008,Ejecución hipotecaria,Normal,163000
175,20,Residencial baja densidad,47.0,12416,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Interior,Suave,Timber,Normal,Normal,Unifamiliar,1 planta,6,5,1986,1986,A dos aguas,Teja compuesta,Revestimiento vinilo,Contrachapado,Piedra,132.0,TA,TA,Bloque cemento,Gd,Fa,No,ALQ,1398,LwQ,208,0,1606,Gas aire forzado,Típica/Aceptable,Sí,Disyuntores estándar,1651,0,0,1651,1,0,2,0,3,1,TA,7,Mínimo 2,1,Típica/Aceptable,Adosado,1986.0,Terminado,2,616,Típica/Aceptable,Típica/Aceptable,Sí,192,0,0,0,0,0,,,,0,11,2008,Escritura de garantía,Normal,184000
176,20,Residencial baja densidad,84.0,12615,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Esquina,Suave,Edwards,Normal,Normal,Unifamiliar,1 planta,6,7,1950,2001,A dos aguas,Teja compuesta,Tejas madera,Tejas madera,Ninguno,0.0,TA,TA,Bloque cemento,TA,Gd,Av,ALQ,477,Unf,0,725,1202,Gas aire forzado,Típica/Aceptable,Sí,Disyuntores estándar,2158,0,0,2158,1,0,2,0,4,1,Gd,7,Típico,1,Buena,Adosado,1950.0,Sin terminar,2,576,Típica/Aceptable,Típica/Aceptable,Sí,0,29,39,0,0,0,,MnPrv,,0,6,2007,Escritura de garantía,Normal,243000
177,60,Residencial baja densidad,97.0,10029,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Esquina,Suave,ClearCr,Normal,Normal,Unifamiliar,2 plantas,6,5,1988,1989,A dos aguas,Teja compuesta,Contrachapado,Contrachapado,Ladrillo a la vista,268.0,Gd,TA,Hormigón vertido,Gd,TA,No,GLQ,831,Unf,0,320,1151,Gas aire forzado,Típica/Aceptable,Sí,Disyuntores estándar,1164,896,0,2060,0,1,2,1,4,1,TA,8,Típico,1,Típica/Aceptable,Adosado,1988.0,Sin terminar,2,521,Típica/Aceptable,Típica/Aceptable,Sí,0,228,0,0,192,0,,,,0,9,2007,Escritura de garantía,Normal,211000
178,50,Residencial baja densidad,,13650,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,Sawyer,Normal,Normal,Unifamiliar,1.5 planta terminado,5,5,1958,1958,A dos aguas,Teja compuesta,Revestimiento metal,Revestimiento metal,Ninguno,0.0,Gd,Gd,Bloque cemento,TA,TA,No,ALQ,57,BLQ,441,554,1052,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1252,668,0,1920,1,0,2,0,4,1,Gd,8,Típico,1,Buena,Adosado,1958.0,Sin terminar,2,451,Típica/Aceptable,Típica/Aceptable,Sí,0,0,0,0,0,0,,,,0,7,2006,Escritura de garantía,Normal,172500
179,20,Residencial baja densidad,63.0,17423,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Cul-de-sac,Suave,StoneBr,Normal,Normal,Unifamiliar,1 planta,9,5,2008,2009,A cuatro aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Piedra,748.0,Ex,TA,Hormigón vertido,Ex,TA,No,GLQ,1904,Unf,0,312,2216,Gas aire forzado,Excelente,Sí,Disyuntores estándar,2234,0,0,2234,1,0,2,0,1,1,Ex,9,Típico,1,Buena,Adosado,2009.0,Terminado,3,1166,Típica/Aceptable,Típica/Aceptable,Sí,0,60,0,0,0,0,,,,0,7,2009,Nuevo,Parcial,501837
180,30,Residencial media densidad,60.0,8520,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,OldTown,Normal,Normal,Unifamiliar,1 planta,5,6,1923,2006,A dos aguas,Teja compuesta,Revestimiento madera,Revestimiento madera,Ninguno,0.0,Gd,TA,Bloque cemento,TA,TA,No,Unf,0,Unf,0,968,968,Gas aire forzado,Típica/Aceptable,Sí,Disyuntores estándar,968,0,0,968,0,0,1,0,2,1,TA,5,Típico,0,,Independiente,1935.0,Sin terminar,2,480,Regular,Típica/Aceptable,No,0,0,184,0,0,0,,,,0,7,2007,Escritura de garantía,Normal,100000
181,160,Residencial frente a parque,,2117,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,Somerst,Normal,Normal,Adosado (int.),2 plantas,6,5,2000,2000,A dos aguas,Teja compuesta,Revestimiento metal,Revestimiento metal,Ladrillo a la vista,456.0,Gd,TA,Hormigón vertido,Gd,TA,No,GLQ,436,Unf,0,320,756,Gas aire forzado,Excelente,Sí,Disyuntores estándar,769,756,0,1525,0,0,2,1,3,1,Gd,5,Típico,1,Típica/Aceptable,Independiente,2000.0,Sin terminar,2,440,Típica/Aceptable,Típica/Aceptable,Sí,0,0,0,0,0,0,,,,0,6,2007,Escritura de garantía,Normal,177000
182,70,Residencial baja densidad,54.0,7588,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,Crawfor,Normal,Normal,Unifamiliar,2 plantas,7,6,1920,1950,A dos aguas,Teja compuesta,Estuco,Estuco,Ninguno,0.0,TA,TA,Ladrillo-teja,Fa,TA,No,LwQ,352,Unf,0,441,793,Gas aire forzado,Buena,Sí,Disyuntores estándar,901,901,0,1802,0,0,1,1,4,1,TA,9,Típico,1,Buena,Independiente,1920.0,Sin terminar,1,216,Regular,Típica/Aceptable,Sí,0,0,40,0,0,0,,,,0,7,2006,Escritura de garantía,Normal,200100
183,20,Residencial baja densidad,60.0,9060,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,Edwards,Calle principal,Normal,Unifamiliar,1 planta,5,6,1957,2006,A cuatro aguas,Teja compuesta,Revestimiento madera,Revestimiento madera,Ladrillo a la vista,98.0,TA,TA,Hormigón vertido,,,,,0,,0,0,0,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1340,0,0,1340,0,0,1,0,3,1,TA,7,Típico,1,Buena,Adosado,1957.0,Terminación regular,1,252,Típica/Aceptable,Típica/Aceptable,Sí,116,0,0,180,0,0,,MnPrv,,0,6,2007,Escritura de garantía,Normal,120000
184,50,Residencial media densidad,63.0,11426,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,OldTown,Normal,Normal,Unifamiliar,1.5 planta terminado,7,5,2003,2003,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Ninguno,0.0,TA,TA,Hormigón vertido,Gd,TA,No,Unf,0,Unf,0,1362,1362,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1362,720,0,2082,0,0,2,1,3,1,Gd,6,Moderado,0,,Independiente,2003.0,Sin terminar,2,484,Típica/Aceptable,Típica/Aceptable,No,280,238,0,0,0,0,,,,0,6,2008,Escritura de garantía,Normal,200000
185,50,Residencial baja densidad,92.0,7438,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Interior,Suave,BrkSide,Cerca de vía de tren — normal,Calle alimentadora,Unifamiliar,1.5 planta terminado,5,8,1908,1991,A dos aguas,Teja compuesta,Tejas asbesto,Contrachapado,Ninguno,0.0,TA,TA,Hormigón vertido,Fa,TA,No,Unf,0,Unf,0,504,504,Gas aire forzado,Buena,Sí,Disyuntores estándar,936,316,0,1252,0,0,1,0,3,1,TA,5,Típico,0,,Adosado,1986.0,Sin terminar,2,576,Típica/Aceptable,Típica/Aceptable,Sí,104,0,0,0,0,0,,MnPrv,,0,6,2006,Escritura de garantía,Normal,127000
186,75,Residencial media densidad,90.0,22950,Pavimentada,,Irregular moderada,Nivelado,Todos los servicios públicos,Interior,Suave,OldTown,Calle principal,Normal,Unifamiliar,2.5 planta terminado,10,9,1892,1993,A dos aguas,Madera teja,Revestimiento madera,Revestimiento madera,Ninguno,0.0,Gd,Gd,Ladrillo-teja,TA,TA,Mn,Unf,0,Unf,0,1107,1107,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1518,1518,572,3608,0,0,2,1,4,1,Ex,12,Típico,2,Típica/Aceptable,Independiente,1993.0,Sin terminar,3,840,Excelente,Típica/Aceptable,Sí,0,260,0,0,410,0,,GdPrv,,0,6,2006,Escritura de garantía,Normal,475000
187,80,Residencial baja densidad,,9947,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Cul-de-sac,Suave,Mitchel,Normal,Normal,Unifamiliar,Nivel dividido,7,5,1990,1991,A dos aguas,Teja compuesta,Tablero duro,Tablero duro,Ninguno,0.0,TA,TA,Hormigón vertido,Gd,TA,Av,GLQ,611,Unf,0,577,1188,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1217,0,0,1217,1,0,2,0,3,1,Gd,6,Típico,0,,Adosado,1990.0,Sin terminar,2,497,Típica/Aceptable,Típica/Aceptable,Sí,168,27,0,0,0,0,,GdPrv,,0,6,2009,Escritura de garantía,Normal,173000
188,50,Residencial baja densidad,60.0,10410,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,OldTown,Normal,Normal,Unifamiliar,1.5 planta terminado,5,7,1916,1987,A dos aguas,Teja compuesta,Tablero duro,Tablero duro,Ninguno,0.0,TA,TA,Bloque cemento,Fa,TA,No,Unf,0,Unf,0,660,660,Gas aire forzado,Excelente,Sí,Disyuntores estándar,808,704,144,1656,0,0,2,1,3,1,TA,8,Mínimo 2,0,,Independiente,1916.0,Sin terminar,1,180,Regular,Regular,No,0,0,0,140,0,0,,MnPrv,,0,8,2009,Escritura de garantía,Normal,135000
